Publicationobjectfromdate,Artcleversionheadline1,Artcleversioningressplain,Artcleversiontextplain,Channelobjectidf
39794.3715162037,SCA streamlines brand portfolio for tissue,Dec 12 2008  SCA will streamline its brand portfolio for tissue products in Europe.,"SCA's current excessively fragmented brand flora will be successively consolidated to fewer brands that are more distinctly segmented. These measures are intended to result in increased profitability for SCA’s European tissue operations.”Streamlining is a logical step to take and has a fundamental aim: to increase profitability,” says Mats Berencreutz, President of SCA Tissue Europe. ”It involves creating a more distinct, simpler brand portfolio for the European market to build even stronger brands.”The streamlining action now being taken is a logical progression of SCA’s acquisition of Procter & Gamble’s European tissue business last year. The consolidation will result in a simpler and more distinct line of brands in the consumer segment. This effort is expected to stretch over three to five years, with the aim of creating pan-European brands for SCA’s tissue products.The world market for consumer tissue amounts to more than 290 billion Kronor, with Europe accounting for one fourth. SCA is Europe’s largest supplier, with a market share of 26 percent. /AA",Engelska nyheter
39794.3723611111,New instrumentation installed at KCL,Dec 12 2008  The Finnish research institute KCL has installed new equipment in its pilot refiner and pilot paper machine.,"KCL has continued to invest to make improvements in its refiner to support research projects dealing with reduction of energy consumption of mechanical pulping and fundamental defibration mechanisms. The newest installed instrumentation focuses on the refining zone. This enables several possibilities for monitoring of plate gap phenomena, for example the effect of segment patterns, refiner rotational speed and pulp consistency, which can be analyzed with respect to pulp quality and energy efficiency.For the essential temperature measurement, 18 thermocouples has been installed along segment bars and grooves at different radial positions of the refiner.KCL also has installed a foam-coating unit on its pilot paper machine. The foam coating technology is a non-contact application method. Foam is generated by mixing the liquid with air. The foam density is controlled by the rotation speed of the mixer. /AA",Engelska nyheter
39794.3775231482,SCA sets a new environmental goal,Dec 12 2008  SCA has decided on a new environmental goal in an effort to strengthen its grip on the climate issue and reduce SCA’s carbon-dioxide emissions.,"The new environmental goal means that SCA will reduce its carbon-dioxide emissions from fossil fuels and from the purchase of electricity and heating in relation to the production level by 20% by the year 2020, with 2005 as a reference year.SCA will focus on a number of different projects with the purpose of enhancing the efficiency of energy use and increasing the relative use of renewable energy until 2020. An important example of this is the investment in wind power being made together with Statkraft, which will generate 2,800 GWh annually from a total of seven wind farms when completed. SCA will also, wherever possible, replace the use of fossil fuels with biofuels or production waste.”SCA’s new environmental goal is specific, measurable, on a deadline and clearly reflects the EU’s climate ambitions concerning emissions targets,” says Patrik Isaksson, Vice President Environmental Affairs at SCA. /AA",Engelska nyheter
39794.3905208333,Pulp and paper trade union conference focuses on collective negotiations,Dec 12 2008  Some 125 trade union leaders from the pulp and paper industry concluded their December 8-10 conference in Uruguay by a four-point work plan focusing on national collective bargaining schedules in 2009.,"The work plan centers on establishment of a global communications and support network for the many national unions that have bargains in 2009. Sector-wide negotiations will occur next year in the Nordic countries, as well as eastern Canada and several European countries. Major agreements also come due at mills in Australia, the US, and Argentina, and union leaders pledged to monitor talks and take global action when requested.The work plan also addresses strategies aimed at renewal talks of Global Framework Agreements with Norske Skog and SCA, which occur in 2009.The theme of the conference is “North Meets South: Global Unity, Global Strength,” and the conference chairman Jouko Ahonen, President of the Finnish trade union Paperiliitto, said networking between trade unions of the North and the burgeoning South – even with project curtailments brought on by the sudden economic collapse – is essential. “This strategic plan is ambitious and we did get commitment that unions in South America, Asia, and the traditional pulp and paper-producing of the North will come together to forge common a program,” Ahonen said.The conference delegates also heard presentations from, among others, Ilkka Hämälä, CEO of Metsa-Botniä, and Uruguay's Industry and Energy Minister, Daniel Martinez, and Labour and Social Security Minister, Eduardo Bonomi.The conference was organized by the Pulp and Paper Sector of ICEM, International Federation of Chemical, Energy, Mine and General Workers' Unions. /AA",Engelska nyheter
39796.7809837963,SCA focusing on cash flow and hygiene business,"Dec 12 2008  SCA is adapting its near-term plans in response to the recession and global financial turmoil. Most important is to reverse the Group's cash flow trend and to continue strengthening SCA's successful positions in hygiene markets around the world, according to SCA's CEO, Jan Johansson.","At a Capital Market Day in Stockholm, Jan Johansson presented his and the management's views of SCA's development in 2009 and 2010. SCA's plans for the years ahead are focused in three areas: Reduced costs and higher cash flow, Capital efficiency, and Innovation.""Our action plan for the years immediately ahead addresses lower growth and tougher times,"" said Johansson. ""Parts of our business are sensitive to economic swings and will continue to be adversely affected. In these businesses we are concentrating our efforts to improve cash flow and increase the efficiency of our plants.""At the same time, through continued innovation and investments in product development we have favourable prospects to strengthen our key positions in the hygiene market, which is more resilient to economic swings. The European market is the most important for us, and we will prioritize harder among our emerging markets”.The prevailing financial and economic climate may also give rise to new opportunities for structural deals, noted SCA, which sees a continued need of consolidation in the packaging sector.In view of its ambition to strengthen the Group's cash flow, in the years immediately ahead, SCA will wait and see with further expansion in markets in which it does not already have an established position. However, incontinence care products will have continued global priority.During the Capital Market Day, SCA presented its target for return on capital employed as the overall goal for the Group and its constituent parts. ""Our goal is for the Group to deliver a 13% return on capital employed. We will achieve this within a 3-4 year period, provided that the economy recovers toward the end of 2010,"" Jan Johansson said. /AA",Engelska nyheter
39798.3588657407,Metso to supply complete tissue line to SCA,"Dec 15 2008  SCA has ordered a complete tissue production line from Metso to a greenfield tissue mill in Ciudad Sahagún, close to Mexico City.","Metso will supply a complete tissue production line to SCA Mexico. The line includes an Advantage DCT 200TS tissue machine, and start-up is planned for the fourth quarter of 2010. The value of the order will not be disclosed. Metso’s scope of delivery will comprise one complete tissue production line including a deinking plant, effluent plant, stock preparation system and an Advantage DCT 200TS tissue machine.With a width of 5.5 m and an operating speed of  2,000 meters per

minute, the new line will produce 60,000 tons a year of facial, toilet

and towel grades. Raw material for the new lines will be recycled paper. The tissue machine will be equipped with an OptiFlo headbox, Metso Yankee cylinder, Advantage AirCap hood, Advantage WetDust dust system, Advantage Run sheet transfer system and an Advantage SoftReel reel.The two-loop deinking line will be equipped with an OptiSlush Drum Pulper, OptiCell flotation technology, GapWasher washing technology and dispersing and bleaching equipment.Furthermore the delivery includes an extensive automation package with process and quality controls. The scope of supply also comprises all other auxiliary equipment and systems needed for the mill. Engineering, transport, installation, training, start-up and commissioning are also included in the delivery. /AA",Engelska nyheter
39798.3667592593,M-real's divestment of Graphic Papers to be closed at year end,Dec 16 2008  M-real's sale of its Graphic Papers business to South African Sappi is expected to be closed by year end 2008.,"In late September, M-real announced the sale of its Graphic Papers business to Sappi for 750 million Euros. The transaction includes the Kangas, Kirkniemi, Biberist and Stockstadt mills with a total coated paper production capacity of about 1.9 million tons per annum as well as several long-term commercial agreements. The competition authorities approved the transaction in October. In early November 2008 Sappi's extraordinary shareholders' meeting accepted the deal, and Sappi's rights offering was initiated. Sappi's rights offering was well received by the market and investors, and it was successfully finalized on 12 December. The closing conditions have been satisfied and the transaction is expected to be closed at year end 2008. /AA",Engelska nyheter
39798.465474537,Up to 400 new jobs in Kajaani,"Dec 16 2008  UPM has signed agreements with 17 companies on the Kajaani mill premises . Of the agreements, 13 are letters of intent and four final agreements. If all agreements will be completed, the business park will provide jobs for some 300-400 persons.","The company S Group will establish a new service center in Kajaani. At first stage the service center will employ some 30 people. In 2010, the number of personnel is estimated to reach 100 in total. The operations are scheduled to start next spring. In addition to S Group, UPM has signed final agreements with Empower Oy, Protacon Group, and Sotkamon Erikoispuhdistus Oy.UPM has signed a letter of intent with the following companies: Sweco Oy, Ymon Oy, Kainuun Keskuspesula Oy, Katera Steel Oy, PR-Rolls, and Clean and Safety Lappalainen Oy.""The business park has proceeded very rapidly and the amount of agreements shows a great interest in the business opportunities in Kajaani region. New companies are still welcome, Kajaani has plenty of trained and skilled workforce to offer,"" says Hans Sohlström, Executive Vice President, Corporate Relations and Development at UPM.At Tervasaari mill, UPM has signed a letter of intent with the company Neapo to rent a paper machine hall. UPM permanently closed PM6 at Tervasaari mill last year. The purpose of the agreement is to search possibilities to transform the paper machine hall into industrial use, meeting Neapo's business needs. Neapo manufactures products for the construction industry.In Tervasaari, UPM's ""From Job to Job"" program is about to begin. In Kajaani, the program has proceeded as supported 16 employees to find new positions within UPM. Approximately 70 persons have found employment or study possibilities outside UPM. Some 160 persons will retire.UPM's ""From Job to Job"" program offers financial support for retraining, creating new business as well as relocation of the employees affected by the closures in Kajaani and Tervasaari, which were announced in September this year. /AA",Engelska nyheter
39798.5150925926,Billerud carries out production curtailment within sack paper,Dec 16 2008  Billerud will stop all production of white and brown sack paper at its Skärblacka and Karlsborg mills during the period 22 December to 7 January.,"The production curtailment is being carried out in order to adapt production to reduced demand and avoid a build-up in inventories. Significantly reduced activity in the building sector in southern Europe and high levels of customer inventories have resulted in a strong decline in demand for sack paper, Billerud writes in a press release.Together with other production curtailments, this measure will mean that the overall production curtailment in the fourth quarter will amount to around  ten percent of Billerud's total production capacity. The total effect of production curtailments and price erosion will in the fourth quarter 2008 render a negative and significantly lower result than previously expected.  Billerud's CEO, Per Lindberg, comments:""We consider that continued production would lead to price erosion on the market that would not benefit us in any way, which is why we choose to stop production. In a process industry like ours, production curtailments of this magnitude however have considerable consequences for profitability in the short term."" /AA",Engelska nyheter
39798.5829861111,Pöyry to design plant for production of bio-diesel,"Dec 16 2008  Pöyry has been commissioned to provide engineering and project management services for the construction of SunPine AB's new production plant for renewable vehicle fuel, to be built in Piteå, Sweden. ","To be taken into use in early 2010, SunPine's new plant will be the first plant in the world to produce green diesel at industrial scale from forest-based raw material. The plant, which will use tall oil as raw material, will have a capacity of about 100 000 m3 of diesel fuel per year, which equals the annual fuel consumption of 100 000 diesel-powered vehicles.SunPine's total investment in the new plant amounts to about 25 million euros.Pöyry's delivery comprises engineering, design, procurement and project management for process and mechanical equipment, piping, electrification, instrumentation and process control systems, and also for construction and site preparation works. The project will provide workload for about ten people at Pöyry's offices in Sweden. /AA",Engelska nyheter
39798.5979398148,Eka Chemicals to reduce sodium chlorate production,Dec 16 2008  Eka Chemicals will reduce the production capacity of sodium chlorate to meet shrinking market demand.,"Eka Chemicals, AkzoNobel´s Pulp and Paper Chemicals business unit, has decided to temporarily stop production at its factory in Mo i Rana in Norway, and likewise partly close its chlorate production in Columbus, USA. Production will be reduced also at other Eka chlorate plants for optimization of global operations due to high and varying energy costs.“We see a global decrease in demand for sodium chlorate for pulp bleaching, combined with an escalating cost structure during recent years. Energy costs are flattening out but are still on an unacceptable high level, which force us to reduce our global production capacity”, says Lennart Nilsson, Director Global Marketing, Eka Chemicals.“The decided closure means a substantial reduction in Eka Chemicals´ total chlorate capacity. We will also make necessary maintenance stops in production after a period of extremely high capacity utilization at our plants”, says Lennart Nilsson. /AA",Engelska nyheter
39799.4789699074,M-real's operating result clearly weaker than expected,Dec 17 2008  M-real's fourth quarter and full year 2008 operating result will be clearly weaker than previously expected.,"In connection with the third quarter 2008 result announcement, M-real expected the fourth quarter operating result, excluding non-recurring items, to weaken seasonally. The demand for M-real's main products in Europe was expected to remain relatively stable for the rest of the year. M-real has earlier stated that the operating result for the full year 2008 is expected to be weaker than in 2007. In the fourth quarter, the demand for M-real's main products has declined clearly more than the normally expected seasonality due to the weakening world economy. This has resulted in market-related curtailments at M-real's mills. The decline in market pulp prices has also weakened M-real's profitability more than expected, M-real writes in a press release. M-real's operating result, excluding non-recurring items, of the fourth quarter will be clearly weaker than in the third quarter. Thus, the full year 2008 operating result, excluding no-recurring items, will also be clearly weaker than in 2007. /AA",Engelska nyheter
39799.567962963,Metso temporarily lays off all personnel in Turku,"Dec 17 2008  Almost all personnel at Metso's Air and Chemical Systems unit and Metso Paper Turku Works Oy will be temporarily laid off. The layoffs result from a reduction in the amount of work, caused by changes in the schedules of projects in the order backlog.","Metso has concluded the employee negotiations on temporary lay-offs of personnel commenced on October 31 regarding all personnel at their units in Turku, Finland. As a result, almost all personnel in Turku will be temporarily laid off during the coming six months. The duration of the layoffs varies, depending on the workload, from some weeks to longer periods of time. The layoffs will begin in late January 2009.Metso’s units in Turku employ altogether 384 people. They are part of Metso's Paper business line and specialize in air and chemicals systems and corresponding specialist services for the pulp, paper and board industry. /AA",Engelska nyheter
39800.5622222222,Metso’s delivery of PM17 to Lee & Man cancelled,"Dec 18 2008  Lee & Man Paper has cancelled the order placed with Metso to supply the new PM17 kraftliner board machine to the company's Hongmei mill in Guangdong province, China.","Lee & Man's decision is based on the recent, significant changes in the market situation. The payments already received completely cover all of Metso’s costs and expenses for the project.At the time of cancellation the project was in the engineering phase, and no significant parts of the delivery had been manufactured yet. The total value of the order placed with Metso in September 2007 was approximately 40 million euros. /AA",Engelska nyheter
39801.4556365741,Finnish timber sales weak in November,"Dec 19 2008  The Finnish forest industry purchased 2.7 million cubic meters of domestic wood from private forest owners in November, 31 percent less than in October.","The aggregate purchase volume for January-November was 28.5 million cubic meters, which is some ten percent less than the average figure for the corresponding period in the last five years. January-November purchases of pine fiberwood continued to show a two-percent year-on-year increase, while procurements of birch fiberwood were up by about eight percent. Purchases of spruce fiberwood were down 26 percent from the corresponding period of 2007.Stumpage prices in November fell by four to six percent compared to October.Wood needs vary regionally as well as according to tree species and company. The 50-percent tax shield the state is offering forest owners will remain in force until the end of 2009.Exceptionally rapid and powerful changes affecting the world markets are making the estimation of future wood needs increasingly difficult, according to the Finnish Forest Industries Federation. /AA",Engelska nyheter
39801.459212963,Metso sells composites manufacturing business in Oulu,"Dec 19 2008  Metso sells its composites manufacturing business and related assets in Oulu to Xperion Oy, a subsidiary of the German Xperion GmbH, as of December 31.","The composites manufacturing business is part of Metso's Paper and Fiber Technology segment. Its annual net sales has been less than five million Euros. The whole personnel, 21 people, will transfer to Xperion. With the divestment, Metso will concentrate in its core business of providing technology and related services to the global pulp and paper industry. Concurrently with the divestment Metso and Xperion have agreed upon a long-term supply contract for composite products. Xperion Oy is 100 percent owned by German Xperion GmbH, which specializes in composite manufacturing, for example for printing, converting and paper industries. Xperion has production units in Germany, Denmark and North America. The company has 250 employees and net sales 2007 of 50 million Euros. /AA",Engelska nyheter
39811.4539930556,Botnia obtained certificate of Energy Efficiency System,Dec 29 2008  Metsä Botnia has been granted a certificate of Energy Efficiency System (EES) by Inspecta. It is the first EES certificate granted by Inspecta.,"Metsä Botnia's energy efficiency system is an integral part of the company's operational system. The internal audits of the system were carried out at the Finnish mills. Inspecta, in turn, completed the external audit in the third quarter of 2008, and the EES certificate was granted to Botnia in the middle of December.Approximately 800 Botnia employees were trained for the energy efficiency system in 2008. The training will continue 2009, and the focus will be on individual processes at each mill. The training is tailored for production personnel. The training will deepen the knowledge of energy efficiency at different mill departments. Also, the energy gauging of the automation system will be exploited more efficiently. /AA",Engelska nyheter
39812.4550810185,SCA Edet PM5 sets new record,Dec 30 2008  A new daily production record of 102 tons has been set after a 15 day run on PM5 at SCA Edet mill in Sweden. The previous record was 99 tons per day set in June 2002.,"Lilla Edet mill's PM5 is a Beloit suction press role machine, operating up to 1,100 meters per minute with a trim width of 3.41 meters. Tissue produced on the machine is sold under the brand name Edet and Tork in Scandinavia and Benelux countries.The machine was equipped with Voith Paper Fabrics’ TissueFlex V3 on the Yankee Pick-up position. The success of TissueFlex V3 is based on Voith Paper Fabrics’ specialty for the challenges in the press section, the well-proven Vector technology - a tri-axial non-woven base fabric structure that provides elasticity in all three spatial directions for excellent compaction resistance and self-cleaning properties. The forming fabric on the machine at the time of the new production record was Voith’s TissueForm GP. It is Voith Paper Fabrics’ design for suction breast roll applications. This 2.5 layer design provides good fiber support and drainage and has given consistently reliable performances for a number of years, according to Voith Paper Fabrics.Voith Paper Fabrics has worked closely with the production team at SCA Edet since the 1980s. /AA",Engelska nyheter
39812.4687152778,Wood costs fell for many pulp mills during third quarter,Dec 30 2008  Wood fiber costs fell for the first time in many years in practically all major pulp producing regions around the world in the third quarter of 2008.,"The wood fiber cost drop was the result of two major factors, according to the market report Wood Resource Quarterly, namely a strengthening US Dollar against most major currencies, and a reduced demand for pulpwood.The average global softwood pulpwood price fell two percent to 110.43 Dollars per oven-dry metric ton in the third quarter of 2008. This was the biggest quarter-to-quarter decline since 2001. The average price was up eleven percent from 2007 and was 26 percent higher than two years ago. Despite the fall, the price was still the second highest ever recorded since 1988, when Wood Resource Quarterly started tracking global wood markets.In the third quarter of 2008 the softwood fiber costs were lower in practically all regions, except Norway, France and southern USA, where prices were higher because of tight supply.With the global decline in paper demand and many pulp mills cutting back production, it is likely that wood costs will continue down in early 2009, according to Wood Resource Quarterly.The average hardwood wood fiber cost was up almost two Dollars in t he third quarter, reaching a new record-high of 110.71 Dollars per oven-dry metric ton. During the past five years, wood fiber costs have gone up in practically all major regions that produce hardwood pulp, including Brazil, Indonesia, finland, Russia, Japan, and southern USA. /AA",Engelska nyheter
39815.4190046296,Jan Lång has started as Ahlstrom's CEO,"Jan 2 2009  Jan Lång has been appointed President and CEO of Ahlstrom Corporation as from January 1, 2009.","As announced earlier, Jan Lång has been appointed President and CEO of Ahlstrom Corporation as from January 1, 2009, and he has herewith started in his new position. As from January 1, Ahlstrom's interim CEO, Risto Anttonen, has been appointed Deputy CEO. He will continue as a member of the Corporate Executive Team.",Engelska nyheter
39815.4301851852,Sappi increases market share with M-real-acquisition,"Jan 2 2009  South African Sappi has completed the acquisition of the coated graphic paper business of M-real for 750 million Euros. The acquisition includes four coated graphic paper mills - Kirkniemi and Kangas in Finland, Stockstadt in Germany and Biberist in Switzerland. M-real’s Husum PM8 and Äänekoski PM2 are, as of 1 January, contract producers for Sappi.","The acquisition was financed through a combination of equity, assumed debt, the cash proceeds from a fully subscribed rights offering and a vendor note. All conditions precedent, including clearance from the relevant competition authorities, have been met.The main benefits of the acquisition are, accordeing to a press release from Sappi, enhancement of Sappi’s position in the coated fine paper sector in Europe and globally; expansion of Sappi’s woodfree coated product offering and customer base, as well as the addition of the strong brands and market strength of M-real’s magazine paper; increase of Sappi’s European graphic paper capacity from 2.6 million tons to 4.5 million tons per annum; expected realization of significant synergies. The total annual synergies are estimated at approximately 120 million Euros, which should be realisable in full within three years and without material capital investments.Commenting on the transaction, Ralph Boëttger, CEO of Sappi Ltd, said: “We are very pleased to have successfully concluded this strategic transaction in such a short space of time, and in such a challenging market environment. We thank our shareholders for their strong support and we thank our own staff, the staff of M-real, and our customers and suppliers for their support and hard work which has not only made this deal possible, but has meant that we have hit the ground running in terms of a smooth transition and integration process from M-real to Sappi.""",Engelska nyheter
39818.3960300926,UPM Nordland PM2 to remain out of action,"Jan 5 2009  PM2 at UPM's Nordland mill in Dörpen, Germany, will continue to be shut down at least until the end of August, UPM has decided.","UPM Nordland's PM2 has been out of action since June lat year. The plan was to put the machine back online in September, but the re-start was postponed until year-end. Before Christmas, UPM decided to keep the machine shut down until August this year, at least. Negotiations about temporary layoffs are going on at the mill.PM2 has a capacity of 200,000 tons per year of woodfree paper, uncoated and coated. According to UPM, the reason for the temporary closure of the machine is continued overcapacity on the European market, as well as a weakening fine paper demand.The Nordland mill has four paper machines and a total capacity of slightly less than 1.5 million tons per year of graphic paper. Last spring, UPM decided about production curtailments also at its French mill in Docelle, which has a capacity of 155,000 tons per year. The mill's only machine came back on stream again last September.",Engelska nyheter
39818.4559953704,Henri Häggblom to join Sinclair Group,Jan 5 2008  The American consulting company Sinclair Group has named Finnish forest industry expert Henri Häggblom as Vice President and Managing Director of its Global Forest Products Business.,"Henri Häggblom’s career includes extensive manufacturing experience in the pulp and paper industry with UPM and M-real as well as with Mead and International Paper in the US. For the last five years with International Paper, he was Director of Corporate Strategic Planning as the company implemented a new strategy and experienced numerous acquisitions an divestitures. In March 2008, Häggblom took a new challenge to lead a private equity sponsored start-up company focused on biomass-based renewable energy business.The Sinclair Group provides operational consulting, strategic planning, and due diligence services for the process industries. The clients include large and middle market operating companies, and private equity investors.",Engelska nyheter
39818.4640856482,Expensive explosion at UPM plant,Jan 5 2009  The explosion at UPM's pulp plant in Pietarsaari on December 28 required at least six days of work to repair the damage.,"The mill was temporary shut down during Christmas and New Year, and no person was injured in the blast. However, the explosion in the pipe of the mill's chemical recovery plant caused extensive damage to the pipe.  The explotion was heard more than 20 kilometers away from the mill.The company explained diluted odour gases filtered into the pipe instead of the furnace in the recovery boiler. The damages are estimated to cost 500,000 Euros.",Engelska nyheter
39818.5258217593,New Management Team of M-real,"Jan 5 2009  Following the divestment of its Graphic Papers business, M-real changes its management structure, and a new Management Team has been established.","From January 5 M-real operates through three business areas: Consumer Packaging, Office Papers and Other Papers. Additionally, the M-real reporting structure includes Market Pulp and Energy.The remaining ex-Graphic Papers business area's mills are managed as follows: Äänekoski paper mill is a part of Consumer Packaging business area, and Husum paper mill's PM8 is a part of Office Papers business area. Both are producing for Sappi under long-term contracts. Other Papers business area consists of Reflex, Gohrsmühle and Hallein mills. Kaskinen BCTMP mill is managed by Consumer Packaging business area.M-real's new Corporate Management Team consists of the following persons: Mikko Helander, CEO, also Head of Other Papers business area, Seppo Parvi, CFO and Deputy CEO, Mika Joukio, Head of Consumer Packaging business area, Seppo Puotinen, Head of Office Papers business area, Matti Mörsky, Business development, Mika Paljakka, HR and TQM, and Jarmo Salonen, Resources, Market Pulp and Energy. The new management structure is effective immediately.",Engelska nyheter
39820.3723842593,Sappi to curtail European fine paper production in January,"Jan 7 2009  South African paper producer Sappi, which from January 1 has taken over M-real's graphic paper business, has decided to curtail its fine paper production in Europe by 25 percent in January.","Sappi's decision is motivated by continuous adverse market conditions. In case the market circumstances does not improve, similar action will be taken for the month of February, Sappi writes in a press release.Details about the decided production curtailments are not published by Sappi, and it is not known which mills will be affected. Sappi's recent acquisition of M-real's graphic paper business included Kirkniemi and Kangas mills in Finland, Stockstadt in Germany and Biberist in Switzerland. M-real’s Husum PM8 and Äänekoski PM2 are contract producers for Sappi.",Engelska nyheter
39820.5629976852,Ahlstrom plans closures and layoffs,Jan 7 2009  Ahlstrom will take further restructuring measures in order to adjust its operations to the weakening demand. The company is planning plant closures in Italy and temporary and permanent layoffs worldwide.,"In Finland, Ahlstrom has issued a proposal to start negotiations with the personnel representatives in Karhula, Mikkeli and Tampere. In Karhula and Mikkeli the negotiations may lead to temporary layoffs for approximately 250 persons. The possibility of permanent layoffs cannot be excluded, according to the company. In Tampere the negotiations may lead to temporary layoffs for approximately 60 persons.Ahlstrom's plants in Karhula and Mikkeli produce glass nonwovens products, and they employ altogether 560 people. The Tampere plant produces filtration materials, and employs 60 people.In Italy, Ahlstrom has started negotiations with the representatives of the personnel on a permanent closure of its Gallarate and Carbonate sites, as well as on a closure of one production line in Cressa. The measures will be implemented gradually starting from the first quarter of 2009, with an estimated reduction impact of approximately 60 employees. All three sites produce nonwoven wiping fabrics.In addition, Ahlstrom has started the process of reducing personnel at several plants globally. The adjustments concern personnel both in the Specialty Papers and the Fiber Composites segments. It is anticipated that the measures will result in a reduction of approximately 150 employees.",Engelska nyheter
39820.5668518518,New CEO and organization at Tamfelt,"Jan 7 2009  Reima Kerttula has started as President and CEO of Tamfelt on January 1, and a new corporate organization has been introduced.","The corporate organization of Tamfelt Group comprises the PMC and Filtration divisions, as well as the functions common to the whole Group: Finance and IT, Human Resources, Business Development, and Marketing and Communications. Seppo Holkko will continue as President of the subsidiary Tamfelt PMC, and Heikki Rehakka as President of Tamfelt Filtration. Kimmo Pärssinen will continue as the CFO for Tamfelt Group. Tuire Leimu has been appointed Human Resources Director for Tamfelt Group as of January 1. The head of the Business Development function will be appointed during early spring. This position will include business development, R&D, quality and environmental matters, as well as coordination of larger investments. Anne Paloheimo-Seppänen, Communications Manager, will be responsible for the Marketing and Communications function. These persons form the Corporate Executive Board, chaired by Reima Kerttula as of January 1.",Engelska nyheter
39820.5779282407,Ahlstrom's full-year operating profit estimated at 40 million Euros,"Jan 7 2009  Ahlstrom's full year operating profit for 2008 will be approximately 40 million Euros, which is far below the figure for 2007.","According to preliminary information, Ahlstrom's full year operating profit for 2008 will be approximately 40 million Euros, compared to 68 million in 2007, excluding non-recurring items. Including the latest announced restructuring measures and write-downs, the operating profit will be approximately 17 million Euros.Ahlstrom earlier estimated its full-year operating profit to be almost at the level of 2007, but in the middle of October, Ahlstrom revised its full-year outlook for 2008 due to the weakening demand for some of its products. The operating profit, excluding non-recurring items, is expected to be clearly lower than in 2007, Ahlstrom said in a press release last October.Now Ahlstrom specifies that the operating profit is expected to be 40 million Euros. Ahlstrom's net sales in 2008 are estimated to be approximately 1,800 million Euros (1,761 million in 2007).Ahlstrom issues the financial statements bulletin 2008 on February 5.",Engelska nyheter
39821.3575115741,Botnia curtails production at its Finnish mills,"Jan 8 2009  Botnia plans significant curtailments of production at its Finnish mills, in addition to the previously announced shut-down of the Kaskinen pulp mill.","The demand for pulp has decreased rapidly in connection with the recession in the global economy. The weak demand has lowered pulp prices and increased the producers' stock levels significantly. Therefore, Botnia plans significant curtailments of production also at its other Finnish mills in addition to the Kaskinen mill.The curtailments will be effected during 2009 with extraordinary production shut-downs according to demand for pulp.The company considers laying off its employees for the duration of the production shut-downs, and the statutory negotiations as required by Finland’s act on cooperation in companies will be commenced on 12 January. The proposal for the start of the negotiations was given to the employee groups of Joutseno, Kemi, Rauma and Äänekoski mills on 7 January. The negotiations will affect 678 people.",Engelska nyheter
39821.3648263889,Operating profit margin over ten percent UPM's new target,Jan 8 2009  UPM's long-term target is an operating profit margin that exceeds ten percent. The return on equity target is at least five percentage points above the yield of a ten year risk-free investment. The gearing ratio is to be kept below 90 percent.,"These are the new long-term financial targets for UPM's businesses. The new targets are set in order to correspond with the company's new business structure, effective from 1 December last year. In line with new financial targets, also the dividend policy has been reviewed. UPM intends to pay as an annual dividend at least one third of net cash flow from operating activities, less operational capital expenditure. To promote stability in dividends, net cash flow will be calculated as an average over a three year period. Remaining funds are to be allocated between growth capital expenditure and debt reduction.UPM's new financial targets emphasise the importance of cash flow in steering the business. In order to secure financial flexibility, the company has raised the priority of debt reduction. This emphasises the company's aim to meet the requirements of capital markets for an investment grade borrower.",Engelska nyheter
39821.4155787037,Metso establishes new office in Vietnam,"Jan 8 2009  Metso strengthens its presence in South East Asia by setting up a new company, Metso Vietnam Company, in Ho Chi Minh City, Vietnam.","The new office is located northwest of Ho Chi Minh City, about ten minutes’ ride from Tan San Nhat airport, with the city railway station in the neighboring block. In the beginning, the office will employ one person.The office will serve all businesses of Metso.",Engelska nyheter
39821.4502662037,Metso's Guangzhou Service Center inaugurated,"Jan 8 2009  Metso has celebrated the inauguration of its new service center in Guangzhou, China. It provides advanced services to the pulp and paper industry in Southern China.","Metso's Guangzhou Service Center has a fully-equipped roll service workshop capable of supplying rolls, roll covers and mechanical roll maintenance services for all makes and sizes of pulp and paper machinery. The center also offers a comprehensive range of spare parts and mill site services.The new greenfield service center has been operational since November last year.",Engelska nyheter
39821.5628587963,UPM Raflatac launches new shipment service,Jan 8 2009  UPM Raflatac has enhanced its service level with a promise to ship a wide selection of RFID tags and inlays in its product offering to customers within 48 hours of order.,"With UPM Raflatac's new service, companies can rely on rapid deliveries for their current and upcoming RFID implementations. ""As a concrete benefit, our customers don't have to worry about tying up too much capital for storing large amounts of RFID tags. Instead they can rely on the availability of UPM Raflatac's RFID products based on occurring needs,"" says Marcus Vänerberg, Vice President, Sales, UPM Raflatac, RFID.In late 2008, UPM Raflatac strengthened its position as the leading manufacturer of RFID tags and inlays globally by opening a new production facility in China. ""With production on three continents, Asia, North America and Europe, we are able to provide our customers with the best possible service level on a remarkably short notice,"" Vänerberg highlights.",Engelska nyheter
39821.6671064815,M-real starts statutory negotiations,"Jan 8 2009  M-real starts statutory negotiations concerning mill operations in Finland. All in all, the negotiations concern about 1,500 people.","The negotiations concern about 1,500 persons at all M-real mills in Finland. Possible actions will be decided locally at the units.The target of the negotiations is to prepare the production temporarily for lower demand by temporary lay offs and working time arrangements. This is thus an anticipatory measure, if no significant improvement in the demand situation experienced in late 2008 emerges, M-real writes in a press release.",Engelska nyheter
